week,sentiment_score
1,-0.2727272727272727
2,0.42105263157894735
3,0.34782608695652173
4,0.5
5,0.5454545454545454
6,0.14285714285714285
7,0.6296296296296297
8,0.34615384615384615
9,0.27586206896551724
10,0.25
11,-0.16666666666666666
12,0.0
13,0.8461538461538461
14,0.2857142857142857
15,0.7857142857142857
16,0.25
17,0.2
18,0.875
19,-0.2
20,0.4166666666666667
21,0.1
22,0.45454545454545453
23,0.3333333333333333
24,0.9090909090909091
25,0.5333333333333333
26,0.2727272727272727
27,0.5625
28,0.55
29,0.46153846153846156
30,0.8
31,0.09090909090909091
32,0.3157894736842105
33,0.2631578947368421
34,0.3157894736842105
35,0.5625
36,0.5263157894736842
37,0.05263157894736842
38,0.14285714285714285
39,-0.46153846153846156
40,0.8461538461538461
41,0.7
42,0.25
43,0.2
44,0.6
45,0.4
46,0.9
47,0.5555555555555556
48,0.15789473684210525
49,0.75
50,0.25
51,0.5555555555555556
52,0.5
